U,C_D
,0
75.1325150305,2.0142949968
52.1488254901,2.2742040286
42.5742687974,1.3645224172
36.782466788,1.7543859649
32.7903329362,2.1442495127
29.6763797514,2.0142949968
25.3294295238,1.4944769331
23.9601328769,2.0142949968
22.5675436302,1.624431449
21.4296960773,1.2345679012
20.4308307033,1.4944769331
19.5441906146,1.7543859649
18.7079779105,1.2345679012
17.9942569914,1.1046133853
17.3448109172,1.3645224172
16.7502489149,1.7543859649
15.6698803089,1.1046133853
15.2016876016,1.4944769331
14.7650712193,1.4944769331
14.3345481378,1.1046133853
13.9523019663,1.1046133853
13.592378561,1.624431449
13.2525822266,1.2345679012
12.9136451701,1.1046133853
12.609515387,1.1046133853
12.3204235955,1.8843404808
11.7681763952,1.2345679012
11.5177621829,1.3645224172
11.2780568455,1.4944769331
11.0357782885,1.1046133853
10.8156866059,1.1046133853
10.604124649,1.624431449
10.4005156372,1.4944769331
10.1936457757,0.9746588694
10.0047942398,0.9746588694
9.8224404849,1.624431449
9.646190248,1.2345679012
9.3015655736,1.1046133853
9.1418493625,1.624431449
8.9869426983,1.1046133853
8.8283624631,0.9746588694
8.6825513769,1.3645224172
8.5408183955,1.4944769331
8.4029584556,0.9746588694
8.2614308823,1.1046133853
8.1309477346,1.624431449
8.0037947498,1.2345679012
7.7456154025,0.9746588694
7.6343482028,1.7543859649
7.5192201709,1.1046133853
7.4067369415,0.9746588694
7.2907509649,1.1046133853
7.1833617605,1.7543859649
7.0782971337,0.9746588694
6.9698150024,0.9746588694
6.8692429788,1.3645224172
6.7707278917,1.4944769331
6.6741916951,0.9746588694
6.4816614267,0.8447043535
6.3907302336,1.2345679012
6.3015012466,0.9746588694
6.2090958853,0.9746588694
6.1231817299,1.624431449
6.0387964959,1.1046133853
5.9558889487,0.9746588694
5.869924634,1.2345679012
5.789903777,1.624431449
5.7112184588,0.9746588694
5.5534932451,0.9746588694
5.4786347384,1.4944769331
5.4049516069,0.9746588694
5.3324086115,0.9746588694
5.2570350939,1.4944769331
5.1867313073,1.2345679012
5.1174689141,0.9746588694
5.0492182623,1.1046133853
4.9782420987,1.7543859649
4.9119830333,0.9746588694
4.8430494906,0.9746588694
4.7151707828,1.2345679012
4.6525246524,1.1046133853
4.5907105829,1.1046133853
4.5263413199,1.4944769331
4.4661709035,1.4944769331
4.4067692512,1.1046133853
4.3481171518,1.1046133853
4.2869993133,1.7543859649
4.2298304999,1.2345679012
4.173356647,1.1046133853
4.0593840444,1.1046133853
4.0049330662,1.1046133853
3.9511130442,1.1046133853
3.8979095079,1.3645224172
3.8424035724,1.624431449
3.7904238049,1.1046133853
3.7390191631,0.9746588694
3.6881769806,1.624431449
3.6351068825,1.4944769331
3.5853827653,1.2345679012
3.5361848107,1.1046133853
3.4366611264,1.7543859649
3.3890032625,0.9746588694
3.341828406,1.2345679012
3.2951267052,1.7543859649
3.2463332184,1.2345679012
3.2005743897,1.1046133853
3.1552603562,1.4944769331
3.1103823703,1.7543859649
